Mass,Treatment,Fraction,Day,RunNum,Intensity
10430.1,NC,pellet,20,2,360548.58
10544.84,NC,pellet,20,2,34995.24
10593.26,NC,pellet,20,2,2978204.54
11299.41,NC,pellet,20,2,1290929.97
11313.42,NC,pellet,20,2,166554.2
11720.13,NC,pellet,20,2,1980848.1
12049.42,NC,pellet,20,2,6504820.39
12376.4,NC,pellet,20,2,7203748.81
12929.47,NC,pellet,20,2,46404.35
13296.18,NC,pellet,20,2,379.65
13721.59,NC,pellet,20,2,192140.5
13736.46,NC,pellet,20,2,389746.73
13750.63,NC,pellet,20,2,2220097.68
13765.53,NC,pellet,20,2,15065483.93
13780.67,NC,pellet,20,2,21045071.05
13795.53,NC,pellet,20,2,4605616.98
13808.65,NC,pellet,20,2,2139656.16
13822.67,NC,pellet,20,2,1733689.79
13837.65,NC,pellet,20,2,217514.57
13850.69,NC,pellet,20,2,293132.17
13864.52,NC,pellet,20,2,828173.82
13878.56,NC,pellet,20,2,1383340.98
13888.11,NC,pellet,20,2,2732477.55
13896.81,NC,pellet,20,2,613561.09
13903.98,NC,pellet,20,2,7522534.34
13922.01,NC,pellet,20,2,1625789.42
13927.5,NC,pellet,20,2,277166.94
13943.13,NC,pellet,20,2,626693.47
13959.16,NC,pellet,20,2,7126927.37
13990.13,NC,pellet,20,2,659854.25
13997.99,NC,pellet,20,2,1803109.23
14008.02,NC,pellet,20,2,9076343.98
14022.84,NC,pellet,20,2,678645.89
14037.03,NC,pellet,20,2,994535.66
14082.58,NC,pellet,20,2,270632.74
14088.02,NC,pellet,20,2,657023.88
14105.9,NC,pellet,20,2,1104013.08
14178.1,NC,pellet,20,2,4263990.62
14404.3,NC,pellet,20,2,660630.16
14422.35,NC,pellet,20,2,3903223.6
14436.33,NC,pellet,20,2,2113531.65
14449.21,NC,pellet,20,2,9615014.65
14455.04,NC,pellet,20,2,1112527.68
14463.25,NC,pellet,20,2,4091591.77
14477.22,NC,pellet,20,2,18746837.12
14493.24,NC,pellet,20,2,293089972.5
14509.3,NC,pellet,20,2,58248691.87
14525.29,NC,pellet,20,2,20898371.74
14531.34,NC,pellet,20,2,3905817.7
14536.36,NC,pellet,20,2,4476552.4
14546.28,NC,pellet,20,2,1308868.34
14554.72,NC,pellet,20,2,6442121.24
14563.25,NC,pellet,20,2,141206.76
14569.73,NC,pellet,20,2,1235624.07
14584.72,NC,pellet,20,2,61381.43
14590.28,NC,pellet,20,2,560224.58
14598.75,NC,pellet,20,2,996373.04
14614.77,NC,pellet,20,2,20276733.03
14630.71,NC,pellet,20,2,3558076.79
14645.76,NC,pellet,20,2,1285554.3
14655.27,NC,pellet,20,2,11837412.86
14667.73,NC,pellet,20,2,1084622.66
14759.44,NC,pellet,20,2,356503.16
14885.59,NC,pellet,20,2,2558651.55
15046.54,NC,pellet,20,2,3251407.5
15277.96,NC,pellet,20,2,426238.33
16930.73,NC,pellet,20,2,57055.39
17243.78,NC,pellet,20,2,1222357.12
18148.17,NC,pellet,20,2,45746.41
18163.27,NC,pellet,20,2,41281.94
18177.29,NC,pellet,20,2,600939.67
18192.3,NC,pellet,20,2,1287429.18
18206.31,NC,pellet,20,2,2491678.23
18222.29,NC,pellet,20,2,270144.48
18237.27,NC,pellet,20,2,131104.69
18243.14,NC,pellet,20,2,64673.62
18257.29,NC,pellet,20,2,72499.75
18285.26,NC,pellet,20,2,48942.06
18347.41,NC,pellet,20,2,29935.7
18365.36,NC,pellet,20,2,41836.88
18430.42,NC,pellet,20,2,64870.18
18445.44,NC,pellet,20,2,209542.12
18459.45,NC,pellet,20,2,447266.35
18474.46,NC,pellet,20,2,389842.67
18489.48,NC,pellet,20,2,2763909.24
18503.49,NC,pellet,20,2,5815901.81
18518.52,NC,pellet,20,2,9354784.16
18534.49,NC,pellet,20,2,1541690.39
18536.44,NC,pellet,20,2,401.13
18551.47,NC,pellet,20,2,467991.03
18566.41,NC,pellet,20,2,393.68
18568.48,NC,pellet,20,2,476557.46
18582.45,NC,pellet,20,2,257.6
18583.48,NC,pellet,20,2,526344.28
18590.35,NC,pellet,20,2,103.17
18598.49,NC,pellet,20,2,337733.42
18615.44,NC,pellet,20,2,23324.07
18617.44,NC,pellet,20,2,171.25
18622.28,NC,pellet,20,2,16289.54
18629.44,NC,pellet,20,2,36925.83
18629.46,NC,pellet,20,2,97.59
18646.46,NC,pellet,20,2,27536.9
18757.47,NC,pellet,20,2,63921.55
18770.44,NC,pellet,20,2,63855.01
18786.73,NC,pellet,20,2,56872.04
20044.39,NC,pellet,20,2,72495.97
20059.55,NC,pellet,20,2,102697.07
20073.35,NC,pellet,20,2,74351.74
20087.38,NC,pellet,20,2,102835.12
20097.55,NC,pellet,20,2,842654.65
20114.53,NC,pellet,20,2,887954.93
20131.4,NC,pellet,20,2,1253145.09
20143.38,NC,pellet,20,2,2289989.98
20157.46,NC,pellet,20,2,1016139.31
20171.6,NC,pellet,20,2,7134062.97
20188.49,NC,pellet,20,2,40078322.98
20204.47,NC,pellet,20,2,4145737.16
20219.5,NC,pellet,20,2,3221907.61
20236.58,NC,pellet,20,2,1486816.44
20252.56,NC,pellet,20,2,778752.95
20268.45,NC,pellet,20,2,863117.48
20287.38,NC,pellet,20,2,1293529.85
20319.43,NC,pellet,20,2,265405.03
20334.44,NC,pellet,20,2,318539.95
20349.43,NC,pellet,20,2,955335.35
21262.92,NC,pellet,20,2,79843.64
21715.92,NC,pellet,20,2,19147.05
21746.13,NC,pellet,20,2,39663.18
21762.17,NC,pellet,20,2,2488572.46
21778.97,NC,pellet,20,2,257184.3
21797.24,NC,pellet,20,2,15999.31
21805.19,NC,pellet,20,2,55016.73
21837.03,NC,pellet,20,2,108798.95
21861.15,NC,pellet,20,2,145984.93
21925.01,NC,pellet,20,2,90041.83
22043.24,NC,pellet,20,2,40263.05
22678.5,NC,pellet,20,2,975295.09
24604.68,NC,pellet,20,2,25171.98
3051.79,NC,pellet,20,3,105748.48
3090.05,NC,pellet,20,3,24073.6
3108.38,NC,pellet,20,3,19589.72
3155.84,NC,pellet,20,3,75510.81
3374.73,NC,pellet,20,3,100898.09
3516.74,NC,pellet,20,3,47270.45
3532.05,NC,pellet,20,3,165679.17
3565.04,NC,pellet,20,3,86.07
3568.57,NC,pellet,20,3,285879.47
3604.74,NC,pellet,20,3,94074.26
3704.1,NC,pellet,20,3,60569.52
3714.92,NC,pellet,20,3,21662.5
3716.22,NC,pellet,20,3,110679.23
3729.88,NC,pellet,20,3,47591.4
3908.85,NC,pellet,20,3,100303.43
3929.95,NC,pellet,20,3,2993.55
3945.61,NC,pellet,20,3,1560.75
3949.54,NC,pellet,20,3,53193.55
4008.98,NC,pellet,20,3,42016.61
4016.44,NC,pellet,20,3,230555.47
4052.67,NC,pellet,20,3,50212.54
4113.16,NC,pellet,20,3,89192.75
4140.75,NC,pellet,20,3,45235.12
4216.69,NC,pellet,20,3,2824.34
4343.78,NC,pellet,20,3,51025.77
4362.2,NC,pellet,20,3,61977.67
4385.92,NC,pellet,20,3,1118.55
4386.27,NC,pellet,20,3,74175.72
4418.44,NC,pellet,20,3,135.26
4446.6,NC,pellet,20,3,1806.84
4459.98,NC,pellet,20,3,40038.32
4514.24,NC,pellet,20,3,16695.77
4550.84,NC,pellet,20,3,78967.69
4555.99,NC,pellet,20,3,3647.42
4558.31,NC,pellet,20,3,48778.88
4568.02,NC,pellet,20,3,29225.17
4611.99,NC,pellet,20,3,65.52
4612.5,NC,pellet,20,3,108029.66
4636.13,NC,pellet,20,3,239.17
4674.67,NC,pellet,20,3,45775.56
4679.98,NC,pellet,20,3,113517.16
4684.09,NC,pellet,20,3,3074.14
4717.31,NC,pellet,20,3,46439.72
4761.09,NC,pellet,20,3,55.97
4788.89,NC,pellet,20,3,136.78
4807.87,NC,pellet,20,3,179.13
4893.06,NC,pellet,20,3,51572.45
4925.58,NC,pellet,20,3,117989.94
4935.24,NC,pellet,20,3,67904.43
